"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.073820667E0,2.738948353E-2,-1.029163837E0,-5.009676218E-1
6.093822667E0,6.471263170E-1,-4.173751473E-1,-1.419886053E-1
6.113825667E0,1.311338782E0,2.174512148E-1,1.769208163E-1
6.133827667E0,1.546414256E0,1.015787005E0,7.337481976E-1
6.153830667E0,1.326050043E0,1.790902138E0,1.539048076E0
6.173832667E0,9.534068704E-1,2.413120031E0,2.046305656E0
6.193834667E0,6.841820478E-1,2.708912849E0,2.329091072E0
6.213837667E0,5.317475200E-1,2.789180040E0,2.555471182E0
6.233840042E0,5.223982930E-1,2.700843096E0,2.792430878E0
6.253843042E0,6.606668234E-1,2.515252829E0,3.079333782E0
6.273845042E0,8.478307724E-1,2.163064241E0,3.406158924E0
6.293847042E0,9.862424731E-1,1.624666929E0,3.654485703E0
6.313850042E0,1.063055515E0,9.688768387E-1,3.759282351E0
6.333852042E0,1.015708327E0,4.441348016E-1,3.694048882E0
6.353855042E0,8.021603823E-1,1.057944894E-1,3.583877087E0
6.373857042E0,5.804306269E-1,-1.154377013E-1,3.481181383E0
6.393859042E0,3.541972041E-1,-3.439062834E-1,3.319512367E0
6.413862042E0,5.014659837E-2,-5.215470195E-1,3.061807156E0
6.433864042E0,-4.545924366E-1,-6.371203661E-1,2.751784801E0
6.453867042E0,-9.995533228E-1,-7.570309639E-1,2.413125515E0
6.473869042E0,-1.467079401E0,-7.341744900E-1,2.028717995E0
6.493872042E0,-1.805098534E0,-6.409580112E-1,1.643303275E0
6.513874042E0,-2.116762877E0,-5.581036210E-1,1.307116508E0
6.533876042E0,-2.367569208E0,-4.930019975E-1,9.756397605E-1
6.553879042E0,-2.369613647E0,-3.941710889E-1,4.472294152E-1
6.573881042E0,-1.876048446E0,-1.694685519E-1,-1.577170342E-1
6.593884042E0,-1.074327707E0,2.318281308E-2,-8.434264660E-1
6.613886042E0,-4.817016721E-1,2.466447651E-1,-1.407141209E0
6.633888042E0,-1.482596248E-1,3.769766688E-1,-1.904569030E0
6.653891042E0,2.734097242E-1,3.224187791E-1,-2.556091547E0
6.673893042E0,7.861670852E-1,4.683849216E-1,-3.223345041E0
6.693896042E0,1.346995711E0,8.501409888E-1,-3.727730274E0
6.713898042E0,1.747498155E0,1.228214383E0,-3.879038811E0
6.733900042E0,1.959515095E0,1.348473191E0,-3.689322710E0
6.753903042E0,1.959340930E0,9.786404371E-1,-3.436370134E0
6.773905042E0,1.642515898E0,1.532757133E-1,-3.172600746E0
6.793908042E0,1.097299576E0,-7.095022798E-1,-2.923307657E0
6.813910042E0,3.876747787E-1,-1.341838479E0,-2.682112217E0
6.833912042E0,-3.405580521E-1,-1.737079740E0,-2.373701096E0
6.853915042E0,-9.679496884E-1,-1.851563215E0,-2.035265446E0
6.873917042E0,-1.409848213E0,-1.639475226E0,-1.759868741E0
6.893920042E0,-1.569981694E0,-1.162721515E0,-1.508283257E0
6.913922042E0,-1.486852407E0,-4.939515293E-1,-1.329544783E0
6.933925042E0,-1.334534526E0,6.406631321E-2,-1.205534697E0
6.953927042E0,-1.203037858E0,3.273230195E-1,-1.264118075E0
6.973929042E0,-1.024211049E0,3.284071684E-1,-1.523463011E0
6.993932042E0,-7.252259851E-1,2.143676281E-1,-1.770151258E0
7.013934042E0,-3.172045648E-1,1.419654936E-1,-1.763068676E0
7.033937042E0,1.041822955E-1,6.800098717E-2,-1.483530998E0
7.053939042E0,4.061594903E-1,7.574728131E-2,-1.150840044E0
7.073941042E0,5.245772004E-1,1.506253928E-1,-7.805638313E-1
7.093944042E0,4.750049412E-1,3.082436323E-1,-2.451134473E-1
7.113946042E0,2.964271307E-1,4.266861677E-1,2.122610211E-1
7.133949042E0,2.562788725E-1,5.060762167E-1,6.205012202E-1
7.153951042E0,3.784387410E-1,7.420343757E-1,1.281290293E0
7.173953042E0,4.162553549E-1,1.024618149E0,1.962146282E0
7.193956042E0,2.978529930E-1,1.312377334E0,2.532942295E0
7.213958042E0,7.054841518E-2,1.536341667E0,2.747652054E0
7.233958208E0,-1.057764813E-1,1.660857081E0,2.840680838E0
7.253960208E0,-1.743903756E-1,1.671941280E0,3.007471085E0
