"Time (s)","Illuminance (lx)"
4.812867115E1,1.000000000E0
4.823972839E1,1.000000000E0
4.834990490E1,0.000000000E0
4.845886394E1,0.000000000E0
4.856858642E1,0.000000000E0
4.867697512E1,0.000000000E0
4.878648485E1,0.000000000E0
4.889646433E1,1.000000000E0
4.900660369E1,1.000000000E0
4.911673041E1,2.000000000E0
4.922630956E1,3.000000000E0
4.933531331E1,4.000000000E0
4.944508149E1,3.000000000E0
4.955488240E1,3.000000000E0
4.966496366E1,3.000000000E0
4.977504952E1,3.000000000E0
4.988484895E1,3.000000000E0
4.999402533E1,3.000000000E0
5.010338656E1,3.000000000E0
5.021344855E1,3.000000000E0
5.032345363E1,4.000000000E0
5.043426557E1,4.000000000E0
5.054286518E1,3.000000000E0
5.065286124E1,4.000000000E0
5.076303726E1,4.000000000E0
5.087329051E1,4.000000000E0
5.098343144E1,4.000000000E0
5.109359572E1,4.000000000E0
5.120355178E1,5.000000000E0
5.131266800E1,5.000000000E0
5.142160956E1,5.000000000E0
5.153158922E1,6.000000000E0
5.164247817E1,5.000000000E0
5.175258578E1,6.000000000E0
5.186129658E1,5.000000000E0
5.197138419E1,4.000000000E0
5.207931327E1,0.000000000E0
5.218942521E1,0.000000000E0
5.229986191E1,0.000000000E0
5.241120956E1,0.000000000E0
5.251998041E1,0.000000000E0
5.262959662E1,0.000000000E0
5.273940619E1,0.000000000E0
5.284926216E1,0.000000000E0
5.295823851E1,0.000000000E0
5.306909912E1,0.000000000E0
5.317758243E1,3.000000000E0
5.328772620E1,5.000000000E0
5.339803890E1,5.000000000E0
5.350801151E1,5.000000000E0
5.361778643E1,5.000000000E0
5.372611912E1,5.000000000E0
5.383598049E1,5.000000000E0
5.394607839E1,5.000000000E0
5.405611792E1,5.000000000E0
5.416606128E1,5.000000000E0
5.427509857E1,5.000000000E0
5.438449640E1,4.000000000E0
5.449439049E1,4.000000000E0
5.460461051E1,4.000000000E0
5.471473198E1,4.000000000E0
5.482426281E1,4.000000000E0
5.493421453E1,4.000000000E0
5.504364434E1,4.000000000E0
5.515303135E1,5.000000000E0
5.526310430E1,5.000000000E0
5.537292495E1,4.000000000E0
5.548248376E1,4.000000000E0
5.559250131E1,4.000000000E0
5.570269569E1,4.000000000E0
5.581271543E1,4.000000000E0
5.592351892E1,4.000000000E0
5.603291058E1,4.000000000E0
5.614230679E1,4.000000000E0
5.625024397E1,4.000000000E0
5.636038775E1,4.000000000E0
5.647179321E1,3.000000000E0
5.658197539E1,4.000000000E0
5.669064967E1,4.000000000E0
5.680023983E1,5.000000000E0
5.690881850E1,5.000000000E0
5.701875139E1,5.000000000E0
5.712901236E1,5.000000000E0
5.723903544E1,5.000000000E0
5.734878961E1,4.000000000E0
5.745878368E1,4.000000000E0
5.756829355E1,4.000000000E0
5.767665671E1,4.000000000E0
5.778657079E1,4.000000000E0
5.789671508E1,3.000000000E0
5.800685382E1,3.000000000E0
5.811635102E1,3.000000000E0
5.822556519E1,3.000000000E0
5.833521281E1,3.000000000E0
5.844499840E1,3.000000000E0
5.855516884E1,2.000000000E0
5.866515663E1,3.000000000E0
5.877509064E1,2.000000000E0
5.888412922E1,3.000000000E0
5.899355300E1,3.000000000E0
5.910349659E1,3.000000000E0
5.921426976E1,3.000000000E0
5.932354795E1,3.000000000E0
5.943379973E1,3.000000000E0
5.954387106E1,3.000000000E0
5.965314983E1,3.000000000E0
5.976340614E1,2.000000000E0
5.987362701E1,2.000000000E0
5.998348615E1,1.000000000E0
6.009354652E1,1.000000000E0
6.020350069E1,2.000000000E0
6.031336887E1,1.000000000E0
6.042171230E1,1.000000000E0
6.053150632E1,1.000000000E0
6.064270943E1,0.000000000E0
6.075203963E1,0.000000000E0
6.086225568E1,0.000000000E0
6.097151622E1,0.000000000E0
6.108127682E1,0.000000000E0
6.118990577E1,0.000000000E0
