"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.028064167E0,9.128616333E0,-1.961564636E1,-4.032789612E1
7.048081167E0,8.789443970E0,-1.941096497E1,-3.995828247E1
7.068097167E0,8.920654297E0,-1.882362366E1,-4.023281860E1
7.088114167E0,9.054565430E0,-1.895106506E1,-4.050466919E1
7.108131167E0,9.106948853E0,-1.864553833E1,-3.995942688E1
7.128148167E0,9.035720825E0,-1.871394348E1,-4.058877563E1
7.148165167E0,8.632797241E0,-1.900559998E1,-4.046771240E1
7.168182167E0,8.931976318E0,-1.918064880E1,-4.035852051E1
7.188199167E0,9.121902466E0,-1.933743286E1,-4.043084717E1
7.208215167E0,9.007659912E0,-1.960807800E1,-4.023252869E1
7.228232167E0,8.735839844E0,-1.950242615E1,-4.029576111E1
7.248249167E0,8.397384644E0,-1.969865417E1,-4.006961060E1
7.268266167E0,8.234313965E0,-1.950338745E1,-4.001533508E1
7.288283167E0,8.294479370E0,-1.968556213E1,-4.017628479E1
7.308300167E0,8.396789551E0,-1.953639221E1,-4.030953979E1
7.328317167E0,8.603530884E0,-1.947602844E1,-4.027752686E1
7.348334167E0,8.708816528E0,-1.920222473E1,-4.022419739E1
7.368350167E0,9.373657227E0,-1.876672363E1,-4.054830933E1
7.388367167E0,9.434494019E0,-1.905937195E1,-4.037783813E1
7.408384167E0,9.488937378E0,-1.907514954E1,-4.013058472E1
7.428401167E0,9.833038330E0,-1.969108582E1,-3.979356384E1
7.448418167E0,9.867111206E0,-2.018197632E1,-3.960710144E1
7.468435167E0,1.027435303E1,-2.030393982E1,-3.920834351E1
7.488452167E0,1.021133423E1,-2.014073181E1,-3.913029480E1
7.508468167E0,1.004025269E1,-2.033854675E1,-3.903408813E1
7.528485167E0,1.000230408E1,-2.048898315E1,-3.910775757E1
7.548502167E0,9.880264282E0,-2.072418213E1,-3.878224182E1
7.568518792E0,1.006327820E1,-2.097802734E1,-3.874798584E1
7.588535792E0,1.009619141E1,-2.113008118E1,-3.847178650E1
7.608552792E0,1.029382324E1,-2.140065002E1,-3.841285706E1
7.628569792E0,1.053860474E1,-2.178771973E1,-3.804994202E1
7.648586792E0,1.099617004E1,-2.161776733E1,-3.854714966E1
7.668602792E0,1.158291626E1,-2.145031738E1,-3.842019653E1
7.688619792E0,1.196020508E1,-2.106347656E1,-3.831443787E1
7.708636792E0,1.207052612E1,-2.085389709E1,-3.830482483E1
7.728653792E0,1.243774414E1,-2.070475769E1,-3.857951355E1
7.748670792E0,1.253659058E1,-2.059204102E1,-3.861361694E1
7.768687792E0,1.256056213E1,-2.051106262E1,-3.854119873E1
7.788704792E0,1.294468689E1,-2.040711975E1,-3.843170166E1
7.808721792E0,1.283985901E1,-2.070190430E1,-3.813685608E1
7.828737792E0,1.257435608E1,-2.118064880E1,-3.804716492E1
7.848754792E0,1.240647888E1,-2.107768250E1,-3.801605225E1
7.868771792E0,1.228007507E1,-2.121582031E1,-3.797738647E1
7.888788792E0,1.229296875E1,-2.131681824E1,-3.828410339E1
7.908805792E0,1.192575073E1,-2.140455627E1,-3.788955688E1
7.928822792E0,1.179086304E1,-2.122724915E1,-3.807775879E1
7.948839792E0,1.143057251E1,-2.094462585E1,-3.822132874E1
7.968856792E0,1.096966553E1,-2.041436768E1,-3.892945862E1
7.988873792E0,1.083068848E1,-2.011451721E1,-3.884884644E1
8.008889792E0,1.051972961E1,-1.971362305E1,-3.943615723E1
8.028906792E0,9.682113647E0,-1.866419983E1,-3.977824402E1
8.048923792E0,9.181808472E0,-1.838993835E1,-4.006669617E1
8.068940792E0,8.784759521E0,-1.794122314E1,-4.076614380E1
8.088957792E0,8.514343262E0,-1.852220154E1,-4.049523926E1
8.108974792E0,8.578384399E0,-1.902926636E1,-4.000233459E1
8.128991792E0,8.684585571E0,-1.914228821E1,-4.029298401E1
