"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.066412583E0,-3.137935102E-1,-2.693381906E-1,-3.589658439E-1
5.086429583E0,-3.436193764E-1,-2.982045412E-1,-2.984598279E-1
5.106446583E0,-2.698331177E-1,-3.078539968E-1,-2.150243968E-1
5.126463583E0,-8.595971763E-2,-2.393005788E-1,-1.254266948E-1
5.146480583E0,9.216646105E-2,-1.711849570E-1,-1.427797601E-2
5.166496583E0,1.539150774E-1,-1.752864122E-1,1.449719518E-1
5.186513583E0,1.768660992E-1,-2.274535745E-1,2.665232420E-1
5.206530583E0,3.137082756E-1,-2.190615684E-1,3.237409890E-1
5.226547583E0,4.715616107E-1,1.282652766E-1,3.237506449E-1
5.246564583E0,3.316939473E-1,5.404337645E-1,3.085086942E-1
5.266580583E0,-1.467906637E-3,7.276170254E-1,3.569613397E-1
5.286597583E0,-1.042056456E-1,4.154186249E-1,5.578924417E-1
5.306614583E0,2.795349360E-1,-5.544612650E-3,6.734582782E-1
5.326631583E0,8.134930134E-1,-3.552320972E-2,5.969969630E-1
5.346648583E0,9.282273650E-1,1.121193990E-1,4.694364965E-1
5.366665583E0,4.954716861E-1,1.902683973E-1,4.138213396E-1
5.386681583E0,-1.115217656E-1,1.510760188E-1,3.647252619E-1
5.406698583E0,-4.647712708E-1,-1.784147695E-2,2.137960196E-1
5.426715583E0,-5.604231954E-1,-1.270061433E-1,3.752608970E-2
5.446732583E0,-5.664615035E-1,-1.959438473E-1,-1.340541840E-1
5.466749583E0,-5.472843647E-1,-1.438504159E-1,-1.563998759E-1
5.486766583E0,-4.718303084E-1,-3.316930681E-2,-1.220292002E-1
5.506782583E0,-3.341534734E-1,7.395429164E-2,-6.422077119E-2
5.526799583E0,-2.346041799E-1,1.466005445E-1,-4.283470288E-2
5.546816583E0,-1.898591965E-1,2.211223841E-1,-3.569547087E-2
5.566837458E0,-1.606386751E-1,2.762940824E-1,-1.195437089E-2
5.586854458E0,-1.371737272E-1,2.492106855E-1,3.122506477E-2
5.606871458E0,-1.309383959E-1,1.245283708E-1,6.786909699E-2
5.626887458E0,-9.544549882E-2,-8.091531694E-2,1.022120640E-1
5.646904458E0,2.849118784E-2,-2.364292294E-1,1.163312569E-1
5.666921458E0,1.774413735E-1,-2.378662825E-1,1.408566684E-1
5.686938458E0,2.335851640E-1,-2.409578711E-1,2.132258415E-1
5.706955458E0,2.043217719E-1,-2.094003111E-1,2.391970903E-1
5.726972458E0,5.464819819E-2,-1.227399111E-1,1.599322557E-1
5.746988458E0,-1.854901463E-1,-1.331467927E-1,7.151895761E-2
5.767005458E0,-3.372249305E-1,-1.339116246E-1,4.064803571E-2
5.787022458E0,-3.982540965E-1,-1.316689700E-1,7.399968803E-2
5.807039458E0,-6.656041741E-1,-3.541601598E-1,5.321114510E-2
5.827056458E0,-9.971786141E-1,-7.403072119E-1,3.632581234E-2
5.847073458E0,-9.167472124E-1,-9.248512983E-1,3.881702572E-2
5.867089458E0,-4.108112752E-1,-7.283984423E-1,-2.796990797E-2
5.887106458E0,1.177389696E-1,-3.454618752E-1,-1.799720377E-1
5.907123458E0,1.767128408E-1,-2.165844887E-1,-3.204635382E-1
5.927140458E0,-1.047725528E-1,-3.330913484E-1,-3.543300033E-1
5.947157458E0,-2.450447977E-1,-4.847836792E-1,-3.488256037E-1
5.967174458E0,-1.564407349E-1,-5.133162737E-1,-3.007998466E-1
5.987190458E0,-5.912318826E-2,-4.540613890E-1,-2.556954026E-1
6.007207458E0,-1.616965234E-2,-3.234839737E-1,-1.523765475E-1
6.027224458E0,1.624896936E-2,-2.336057127E-1,-2.350751683E-2
6.047241458E0,1.762308478E-1,-2.096769661E-1,3.131463379E-2
6.067258458E0,3.582679927E-1,-1.766825616E-1,-1.662421599E-2
6.087275458E0,3.530085683E-1,-1.099900901E-1,-1.270531714E-1
6.107291458E0,1.733860821E-1,-9.864501655E-2,-2.234883606E-1
6.127308458E0,-2.687819675E-2,-1.474423856E-1,-2.915498912E-1
6.147325458E0,-8.807877451E-2,-2.291279733E-1,-2.942789793E-1
6.167342458E0,4.148231074E-2,-3.266494274E-1,-2.110405713E-1
6.187359458E0,2.150741965E-1,-3.807323277E-1,-1.692993343E-1
6.207376458E0,3.029342890E-1,-3.682144284E-1,-1.644811481E-1
6.227392458E0,3.055676222E-1,-2.219594717E-1,-1.625559479E-1
6.247409458E0,2.439758629E-1,-7.306643575E-2,-1.695124805E-1
6.267426458E0,1.440130770E-1,-1.100414991E-2,-2.150352150E-1
6.287443458E0,2.625509165E-2,-8.286148310E-2,-2.378194630E-1
6.307460458E0,-1.792562194E-2,-1.881299019E-1,-1.786275059E-1
6.327477458E0,7.692792267E-2,-1.080923304E-1,-1.535892636E-1
6.347494458E0,1.283483356E-1,7.446096838E-2,-2.096404582E-1
6.367510458E0,-2.456881106E-2,2.093327940E-1,-1.847532094E-1
6.387527458E0,-2.066286951E-1,2.310377657E-1,-9.783766419E-2
6.407544458E0,-9.161930531E-2,1.908035427E-1,2.413963899E-2
6.427561458E0,2.505124807E-1,2.691931725E-1,7.878459245E-2
6.447578458E0,4.234280884E-1,3.542417586E-1,1.017413139E-1
6.467595458E0,2.917447984E-1,2.490929514E-1,1.320514530E-1
6.487612458E0,4.576919973E-2,-1.569182239E-2,1.440368295E-1
