"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.707618832E2,3.211490983E1,1.189531453E2,1.727778540E1,1.833935014E0,3.077847273E2,4.979322072E0,4.979322072E0
1.717618820E2,3.211492141E1,1.189531218E2,1.724946010E1,1.521633410E0,2.958417685E2,4.979254957E0,4.979254957E0
1.727618802E2,3.211494612E1,1.189530843E2,1.689223263E1,2.224665080E0,2.978220864E2,4.993216469E0,4.993216469E0
1.737618780E2,3.211495986E1,1.189530603E2,1.704591069E1,1.596094206E0,2.956620698E2,4.988049655E0,4.988049655E0
1.747618761E2,3.211498067E1,1.189530172E2,1.694959550E1,1.599372281E0,2.972606206E2,4.994776335E0,4.994776335E0
1.757618743E2,3.211500151E1,1.189529757E2,1.691257636E1,1.972164298E0,2.963404285E2,4.992696832E0,4.992696832E0
1.767618718E2,3.211501673E1,1.189529455E2,1.707955703E1,1.533885282E0,2.948588418E2,4.990765701E0,4.990765701E0
1.777618697E2,3.211503344E1,1.189529161E2,1.722584165E1,2.086759818E0,2.965291991E2,4.992477770E0,4.992477770E0
1.787618683E2,3.211504731E1,1.189528880E2,1.711103640E1,1.581579350E0,2.939667368E2,4.986194970E0,4.986194970E0
1.797618662E2,3.211507171E1,1.189528470E2,1.725546202E1,2.623531160E0,2.972109127E2,4.973966791E0,4.973966791E0
1.807618638E2,3.211508414E1,1.189528253E2,1.722322137E1,1.684525258E0,2.967433750E2,4.966846404E0,4.966846404E0
1.817618624E2,3.211509421E1,1.189527969E2,1.713674189E1,1.586660505E0,2.929463108E2,4.963579971E0,4.963579971E0
1.827618602E2,3.211511056E1,1.189527723E2,1.739314279E1,1.755970494E0,2.991200706E2,4.971039265E0,4.971039265E0
1.837618576E2,3.211512580E1,1.189527505E2,1.731206058E1,1.499780426E0,3.032821007E2,4.970429133E0,4.970429133E0
1.847618558E2,3.211514429E1,1.189527150E2,1.763160049E1,2.356074299E0,3.051480239E2,4.965966966E0,4.965966966E0
1.857618535E2,3.211515746E1,1.189526952E2,1.735679429E1,1.544123091E0,3.095556491E2,4.949773432E0,4.949773432E0
1.867618528E2,3.211517237E1,1.189526738E2,1.758581617E1,1.539885407E0,3.075918172E2,4.956065853E0,4.956065853E0
