"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.672821208E0,7.897734642E-1,1.136749983E-1,-1.493170857E-1
5.692924208E0,9.258458614E-1,4.447822273E-2,-3.437207937E-1
5.713027208E0,8.454917073E-1,4.316834360E-2,-1.240527406E-1
5.733129208E0,6.216017008E-1,4.340749606E-2,3.339914978E-1
5.753232208E0,2.123095989E-1,4.886222482E-1,1.072481200E-1
5.773335208E0,2.892927080E-2,3.898842037E-1,-3.151028752E-1
5.793437208E0,-1.647255570E-1,4.205194861E-2,-4.039762914E-1
5.813540208E0,-2.757977545E-1,3.822152317E-2,-2.393324524E-1
5.833643208E0,-2.333500832E-1,5.167647824E-2,-8.343354613E-2
5.853745958E0,-1.587062329E-1,-8.260010183E-2,-1.387351602E-1
5.873847958E0,-1.053131521E-1,-2.040044367E-1,-2.893128097E-1
5.893950958E0,-1.442044228E-1,-7.494817674E-2,-3.268266022E-1
5.914053958E0,-2.086947113E-1,8.301669359E-2,-2.897666097E-1
5.934155958E0,-3.164634407E-1,1.604889780E-1,-1.980562657E-1
5.954258958E0,-3.380830884E-1,7.163527608E-2,-1.184032410E-1
5.974361958E0,-2.671113014E-1,2.061521867E-3,-4.863641411E-2
5.994463958E0,-2.193461955E-1,3.123590257E-3,-6.122145057E-2
6.014566958E0,-2.039070129E-1,7.584293187E-2,-2.192841768E-1
6.034669958E0,-1.500053257E-1,1.294905841E-1,-4.114846587E-1
6.054772958E0,-5.859109759E-2,1.219104230E-1,-5.497402549E-1
6.074874958E0,3.384386748E-2,8.226887137E-2,-6.115009189E-1
6.094977958E0,9.760731459E-2,4.503348842E-2,-6.501651406E-1
6.115080958E0,1.535023451E-1,7.023672014E-2,-7.484441400E-1
6.135183958E0,1.054398641E-1,2.106460184E-1,-8.275924921E-1
6.155285958E0,-3.573453426E-2,2.949714065E-1,-8.253047466E-1
6.175388958E0,-1.633640230E-1,1.783153862E-1,-5.719110966E-1
6.195491958E0,-2.747170925E-1,7.477300614E-2,-1.034980640E-1
6.215593958E0,-3.173979819E-1,-7.322470844E-2,3.633838892E-1
6.235696958E0,-1.169932932E-1,-1.233941391E-1,5.772938132E-1
6.255799958E0,-3.336881474E-2,-1.220251396E-1,5.671368837E-1
6.275902958E0,-9.702651761E-3,-3.658600524E-2,4.376019239E-1
6.296004958E0,-2.196959779E-2,1.747635305E-1,2.601405978E-1
6.316107958E0,-8.707367629E-2,3.388954699E-1,1.653666943E-1
6.336210958E0,-1.830361784E-1,3.694573641E-1,1.617338657E-1
6.356313958E0,-3.036539555E-1,2.675032914E-1,2.262095362E-1
6.376415958E0,-5.105064511E-1,1.688109487E-1,3.192455769E-1
6.396518958E0,-5.965994596E-1,6.084241346E-2,3.858438134E-1
6.416621958E0,-4.354693890E-1,8.128590137E-2,3.790090382E-1
6.436723958E0,-1.617506891E-1,2.297801673E-1,3.235723078E-1
6.456826958E0,1.330377311E-1,4.358071089E-1,2.740593255E-1
6.476929958E0,4.213629365E-1,5.274468660E-1,2.304528803E-1
6.497032958E0,6.035956740E-1,4.440874159E-1,1.761197299E-1
6.517134958E0,6.664572358E-1,2.476750165E-1,1.138574257E-1
6.537237958E0,6.124742627E-1,6.819327176E-2,7.932647318E-2
6.557340958E0,5.995201468E-1,-9.266392142E-2,1.188657731E-1
6.577443958E0,6.684100628E-1,-1.867087930E-1,4.242100716E-1
6.597545958E0,8.115707040E-1,-2.527308166E-1,8.783444166E-1
6.617648958E0,8.700574040E-1,-3.496657610E-1,1.304517388E0
6.637751958E0,8.570893407E-1,-5.080140829E-1,1.550724626E0
6.657854958E0,6.470527053E-1,-3.147774041E-1,9.079462886E-1
6.677956958E0,2.665116787E-1,7.217828929E-2,2.248510420E-1
6.698059958E0,2.440422308E-3,-3.459888697E-2,-6.048868224E-2
6.718162958E0,-2.318911701E-1,-4.424459115E-2,-4.316428304E-2
6.738265958E0,-2.536547780E-1,-7.566256821E-2,2.273603529E-2
6.758367958E0,-1.865698993E-1,-1.379191577E-1,9.703990072E-3
6.778470958E0,-1.419274062E-1,-1.185230762E-1,-1.025581062E-1
6.798573958E0,-1.171961874E-1,3.215138242E-2,-2.590973675E-1
6.818676958E0,-9.506116807E-2,1.387035251E-1,-3.757133186E-1
6.838778958E0,-1.847833097E-1,1.921997666E-1,-4.176400304E-1
6.858882583E0,-2.829626203E-1,1.643749326E-1,-3.944048882E-1
6.878985583E0,-3.727781475E-1,7.156749815E-2,-3.499585688E-1
6.899088583E0,-4.449271560E-1,-2.870890684E-2,-3.231127262E-1
6.919191583E0,-4.041761458E-1,-7.126049697E-2,-3.521873951E-1
6.939293583E0,-2.069077790E-1,-6.392561644E-2,-4.323442578E-1
6.959396583E0,4.718188196E-2,-6.083022431E-2,-4.379643202E-1
6.979499583E0,1.900814176E-1,-3.485428542E-2,-3.525000215E-1
6.999602583E0,1.684319526E-1,-8.244404197E-2,-1.678155363E-1
7.019704583E0,7.431617379E-2,-1.910347044E-1,6.425771862E-3
7.039807583E0,5.638948083E-2,-1.862837523E-1,1.157432795E-2
7.059910583E0,1.179120690E-1,-1.608320624E-1,-1.274651885E-1
7.080013583E0,2.322401106E-1,-1.063272730E-1,-3.271463513E-1
7.100115583E0,2.807993889E-1,3.246563673E-2,-5.387644172E-1
7.120218583E0,1.913013160E-1,2.471762002E-1,-5.384024382E-1
7.140321583E0,1.565655507E-2,3.722097576E-1,-2.193809897E-1
7.160424583E0,-1.800374538E-1,3.153505921E-1,1.400481462E-1
7.180526583E0,-2.156016678E-1,1.843383908E-1,1.348902583E-1
7.200629583E0,-2.809639871E-1,3.346573412E-1,-1.039361507E-1
7.220732583E0,-2.716700733E-1,5.321236253E-1,-3.920695484E-1
7.240835583E0,-2.206238806E-1,6.561080217E-1,-5.658060312E-1
7.260938583E0,-2.156607509E-1,6.766293049E-1,-5.402300954E-1
7.281040583E0,-2.780918479E-1,6.245210767E-1,-3.772238791E-1
7.301143583E0,-3.710221052E-1,4.711641371E-1,-1.256184131E-1
7.321246583E0,-4.906566441E-1,3.792520761E-1,1.403277665E-1
7.341349583E0,-5.070182085E-1,4.003654718E-1,3.173498213E-1
7.361452583E0,-4.199533165E-1,4.976270497E-1,4.167712331E-1
7.381554583E0,-2.345332205E-1,5.255364776E-1,4.125056267E-1
7.401657583E0,1.775636710E-2,4.321712255E-1,3.357766271E-1
7.421760583E0,2.132117301E-1,3.048419058E-1,3.065925241E-1
7.441863583E0,3.337431550E-1,2.504068911E-1,3.238194287E-1
7.461965583E0,4.465207756E-1,1.974042505E-1,3.253141344E-1
7.482068583E0,5.574709773E-1,4.551285878E-2,2.782056034E-1
7.502171583E0,6.735228300E-1,-1.919136792E-1,1.572415233E-1
7.522274583E0,7.068071365E-1,-3.468189538E-1,8.210988343E-2
7.542377583E0,6.984248161E-1,-3.598740697E-1,2.838374078E-1
7.562479583E0,5.886699557E-1,-2.650531232E-1,4.075882137E-1
7.582582583E0,2.750714719E-1,-2.126716822E-1,2.322241366E-1
7.602685583E0,-9.098346345E-4,-4.533920288E-1,-8.788288385E-2
7.622788583E0,-1.252797246E-1,-4.090485275E-1,-1.392443478E-1
7.642891583E0,-1.237266585E-1,-3.730269969E-1,7.777192630E-3
