"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.294167946E1,4.838442993E1,2.180976105E1,2.911847687E1
9.296178288E1,4.866248703E1,2.206185150E1,2.847028732E1
9.298188688E1,4.892955780E1,2.221884155E1,2.846772194E1
9.300198988E1,4.864932251E1,2.243663788E1,2.873694229E1
9.302209387E1,4.814537430E1,2.234934998E1,2.872406387E1
9.304219688E1,4.746516418E1,2.223065948E1,2.869573975E1
9.306230087E1,4.659165573E1,2.198439026E1,2.813758850E1
9.308240488E1,4.563147354E1,2.141110992E1,2.769749832E1
9.310250787E1,4.501182556E1,2.154141235E1,2.764251900E1
9.312261188E1,4.475164795E1,2.117223358E1,2.786570168E1
9.314271588E1,4.398952866E1,2.070003891E1,2.774987221E1
9.316281888E1,4.328007126E1,1.994848633E1,2.886970139E1
9.318292287E1,4.239032364E1,1.942520142E1,2.939474106E1
9.320302588E1,4.212635040E1,1.844558716E1,2.976042175E1
9.322312987E1,4.259679413E1,1.817940903E1,2.951213264E1
9.324323388E1,4.340079498E1,1.888373566E1,2.958882332E1
9.326333687E1,4.477917480E1,1.984614944E1,3.016075325E1
9.328344088E1,4.689354324E1,2.040438461E1,3.103939056E1
9.330354488E1,4.806049347E1,2.072494888E1,3.190703201E1
9.332364788E1,4.836316299E1,2.021599197E1,3.315383911E1
9.334375187E1,4.873455811E1,1.986501312E1,3.351611710E1
9.336385587E1,4.904500580E1,1.968359756E1,3.398786545E1
9.338395887E1,4.951015091E1,1.967000961E1,3.391603470E1
9.340406288E1,5.008028412E1,1.971364594E1,3.400683212E1
9.342416688E1,5.097889709E1,1.959039307E1,3.386938095E1
9.344426988E1,5.132831955E1,1.922432709E1,3.401108170E1
9.346437388E1,5.175308228E1,1.942587662E1,3.416764069E1
9.348447688E1,5.257033539E1,1.943500900E1,3.327640915E1
9.350458088E1,5.310456467E1,1.943747330E1,3.339059448E1
9.352468487E1,5.316081619E1,1.947887421E1,3.283421707E1
9.354478787E1,5.359572983E1,1.856330109E1,3.274240875E1
9.356489188E1,5.365678787E1,1.844204712E1,3.270333862E1
9.358499588E1,5.274980164E1,1.732187271E1,3.273914719E1
9.360509888E1,5.041609955E1,1.531773376E1,3.202538681E1
9.362520288E1,4.801791763E1,1.366204834E1,3.118910789E1
9.364530687E1,4.650925064E1,1.294509506E1,3.078458405E1
